GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Imaging,org.apache.commons.imaging.formats.psd.dataparsers,DataParserLab,37,5,0,0,6,2,1,2,1,2
Apache Commons Imaging,org.apache.commons.imaging.formats.psd.dataparsers,DataParserGrayscale,32,5,0,0,3,2,1,2,1,2
Apache Commons Imaging,org.apache.commons.imaging.formats.psd.dataparsers,DataParserCmyk,62,5,0,0,9,2,1,2,1,2
Apache Commons Imaging,org.apache.commons.imaging.formats.psd.dataparsers,DataParserRgb,0,57,0,0,0,7,0,3,0,3
Apache Commons Imaging,org.apache.commons.imaging.formats.psd.dataparsers,DataParserStub,7,0,0,0,3,0,3,0,3,0
Apache Commons Imaging,org.apache.commons.imaging.formats.psd.dataparsers,DataParser,0,46,0,4,0,10,0,4,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.psd.dataparsers,DataParserBitmap,44,0,2,0,8,0,4,0,3,0
Apache Commons Imaging,org.apache.commons.imaging.formats.psd.dataparsers,DataParserIndexed,69,6,0,0,10,2,3,1,3,1
Apache Commons Imaging,org.apache.commons.imaging.common,AllocationRequestException,26,33,0,0,8,7,4,3,4,3
Apache Commons Imaging,org.apache.commons.imaging.common,ZlibDeflate,14,37,0,0,4,10,0,2,0,2
Apache Commons Imaging,org.apache.commons.imaging.common,XmpImagingParameters,7,6,0,0,2,2,1,2,1,2
Apache Commons Imaging,org.apache.commons.imaging.common,BinaryConstant,21,43,4,2,7,9,4,6,2,5
Apache Commons Imaging,org.apache.commons.imaging.common,GenericImageMetadata,0,81,0,6,0,18,0,10,0,7
Apache Commons Imaging,org.apache.commons.imaging.common,BasicCParser,446,465,94,111,120,124,76,46,3,6
Apache Commons Imaging,org.apache.commons.imaging.common,BinaryFunctions,234,555,22,48,36,98,24,39,5,23
Apache Commons Imaging,org.apache.commons.imaging.common,GenericImageMetadata.GenericImageMetadataItem,6,40,1,1,2,9,2,4,1,4
Apache Commons Imaging,org.apache.commons.imaging.common,RationalNumber.Option,4,19,0,0,1,5,1,2,1,2
Apache Commons Imaging,org.apache.commons.imaging.common,PackBits,35,254,6,36,2,62,5,20,0,4
Apache Commons Imaging,org.apache.commons.imaging.common,Allocator,31,105,1,3,6,25,2,17,1,16
Apache Commons Imaging,org.apache.commons.imaging.common,ImageBuilder,5,357,3,25,1,66,3,23,0,12
Apache Commons Imaging,org.apache.commons.imaging.common,RgbBufferedImageFactory,7,18,0,2,1,4,0,4,0,3
Apache Commons Imaging,org.apache.commons.imaging.common,BinaryOutputStream,6,34,1,3,1,10,1,5,0,4
Apache Commons Imaging,org.apache.commons.imaging.common,BinaryFileParser,104,27,4,0,21,10,4,5,2,5
Apache Commons Imaging,org.apache.commons.imaging.common,ByteConversions,65,1741,4,34,10,210,6,68,4,51
Apache Commons Imaging,org.apache.commons.imaging.common,LittleEndianBinaryOutputStream,0,64,0,0,0,14,0,4,0,4
Apache Commons Imaging,org.apache.commons.imaging.common,RationalNumber,78,479,17,53,9,88,17,31,1,12
Apache Commons Imaging,org.apache.commons.imaging.common,BigEndianBinaryOutputStream,20,44,0,0,4,10,1,3,1,3
Apache Commons Imaging,org.apache.commons.imaging.common,SimpleBufferedImageFactory,0,35,0,4,0,7,0,5,0,3
Apache Commons Imaging,org.apache.commons.imaging.formats.pcx,PcxImageParser,194,963,26,66,24,128,26,40,4,16
Apache Commons Imaging,org.apache.commons.imaging.formats.pcx,PcxImagingParameters,21,21,0,0,6,7,3,4,3,4
Apache Commons Imaging,org.apache.commons.imaging.formats.pcx,RleWriter,85,20,18,2,12,9,10,3,0,3
Apache Commons Imaging,org.apache.commons.imaging.formats.pcx,PcxImageParser.PcxHeader,240,54,4,0,25,19,3,1,1,1
Apache Commons Imaging,org.apache.commons.imaging.formats.pcx,RleReader,0,117,0,10,0,25,0,7,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.pcx,PcxWriter,383,652,51,81,51,117,40,30,1,3
Apache Commons Imaging,org.apache.commons.imaging.formats.webp,WebPConstants,0,45,0,0,0,2,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.webp,WebPChunkType,0,145,0,8,0,21,0,8,0,4
Apache Commons Imaging,org.apache.commons.imaging.formats.webp,WebPImageParser.ChunksReader,22,208,3,27,3,39,3,17,0,5
Apache Commons Imaging,org.apache.commons.imaging.formats.webp,WebPImageMetadata,0,27,1,1,0,8,1,3,0,3
Apache Commons Imaging,org.apache.commons.imaging.formats.webp,WebPImageParser,75,387,13,33,9,85,13,25,0,15
Apache Commons Imaging,org.apache.commons.imaging.formats.webp,WebPImagingParameters,0,3,0,0,0,1,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg.iptc,IptcTypes.new IptcType() {...},12,11,0,0,1,3,1,3,1,3
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg.iptc,IptcTypes,15,481,0,0,1,26,1,5,1,5
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg.iptc,JpegIptcRewriter,60,191,3,5,18,45,9,8,6,7
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg.iptc,IptcTypeLookup,0,41,0,4,0,6,0,4,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg.iptc,IptcBlock,0,39,0,2,0,9,0,6,0,5
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg.iptc,PhotoshopApp13Data,4,52,2,6,0,12,2,6,0,4
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg.iptc,IptcRecord,0,24,0,0,0,7,0,5,0,5
Apache Commons Imaging,org.apache.commons.imaging.formats.jpeg.iptc,IptcParser,185,692,35,57,40,142,30,27,0,11
Apache Commons Imaging,org.apache.commons.imaging.formats.dcx,DcxImageParser,23,182,4,10,6,41,7,16,3,13
Apache Commons Imaging,org.apache.commons.imaging.formats.dcx,DcxImageParser.DcxHeader,30,9,0,0,5,4,1,1,1,1
Apache Commons Imaging,org.apache.commons.imaging.formats.png.chunks,PngChunkGama,0,28,0,0,0,5,0,2,0,2
Apache Commons Imaging,org.apache.commons.imaging.formats.png.chunks,PngChunkText,22,61,1,1,2,11,1,5,0,5
Apache Commons Imaging,org.apache.commons.imaging.formats.png.chunks,PngChunkItxt,27,151,2,10,3,26,3,8,1,4
Apache Commons Imaging,org.apache.commons.imaging.formats.png.chunks,PngChunkPlte,29,122,3,5,3,15,4,5,1,4
Apache Commons Imaging,org.apache.commons.imaging.formats.png.chunks,AbstractPngTextChunk,0,7,0,0,0,2,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.png.chunks,PngChunkIhdr,15,104,2,4,2,21,3,8,1,7
Apache Commons Imaging,org.apache.commons.imaging.formats.png.chunks,PngChunkScal,0,106,0,6,0,20,0,8,0,5
Apache Commons Imaging,org.apache.commons.imaging.formats.png.chunks,PngChunk,29,87,0,4,8,19,8,5,8,3
Apache Commons Imaging,org.apache.commons.imaging.formats.png.chunks,PngChunkIdat,0,7,0,0,0,2,0,1,0,1
Apache Commons Imaging,org.apache.commons.imaging.formats.png.chunks,PngChunkPhys,0,43,0,0,0,9,0,4,0,4
Apache Commons Imaging,org.apache.commons.imaging.formats.png.chunks,PngChunkIccp,77,82,2,2,9,14,5,3,3,3
Apache Commons Imaging,org.apache.commons.imaging.formats.png.chunks,PngChunkZtxt,12,70,1,1,1,14,1,4,0,4
